Grp	sID	Phase	Trial	S/L	L/R	RE
1.000	50.000	1.000	1.000	NA	NA	NA
1.000	50.000	1.000	2.000	-27.301	-21.647	34.841
1.000	50.000	1.000	3.000	-2.323	-27.700	27.798
1.000	50.000	1.000	4.000	34.395	-33.800	48.223
1.000	50.000	1.000	5.000	-37.794	-16.116	41.087
1.000	50.000	1.000	6.000	-2.565	-17.428	17.615
1.000	50.000	1.000	7.000	56.676	-5.424	56.935
1.000	50.000	1.000	8.000	-49.334	-17.537	52.358
1.000	50.000	1.000	9.000	25.973	-31.978	41.197
1.000	50.000	1.000	10.000	91.334	-32.178	96.836
