Grp	sID	Phase	Trial	S/L	L/R	RE	
1.000	26.000	2.000	1.000	-16.990	-9.108	19.277
1.000	26.000	2.000	2.000	-13.658	-9.481	16.626
1.000	26.000	2.000	3.000	-22.216	-2.968	22.413
1.000	26.000	2.000	4.000	1.287	-2.441	2.760
1.000	26.000	2.000	5.000	0.540	-8.714	8.730
1.000	26.000	2.000	6.000	1.908	-8.216	8.435
1.000	26.000	2.000	7.000	13.146	-3.744	13.669
1.000	26.000	2.000	8.000	-2.828	-2.171	3.565
1.000	26.000	2.000	9.000	7.867	-5.538	9.621
1.000	26.000	2.000	10.000	12.602	-11.387	16.984
1.000	26.000	2.000	1.000	-2.660	2.727	3.810
1.000	26.000	2.000	2.000	14.940	-9.317	17.607
1.000	26.000	2.000	3.000	-15.212	5.398	16.141
1.000	26.000	2.000	4.000	28.168	-10.319	29.999
1.000	26.000	2.000	5.000	-7.878	7.496	10.875
1.000	26.000	2.000	6.000	21.871	-5.262	22.495
1.000	26.000	2.000	7.000	-4.803	0.658	4.848
1.000	26.000	2.000	8.000	13.509	1.253	13.567
1.000	26.000	2.000	9.000	6.095	-3.981	7.280
1.000	26.000	2.000	10.000	2.007	-8.412	8.648
1.000	26.000	2.000	1.000	-2.443	-0.895	2.602
1.000	26.000	2.000	2.000	-18.391	-3.925	18.805
1.000	26.000	2.000	3.000	-1.824	-6.377	6.633
1.000	26.000	2.000	4.000	8.944	-5.531	10.517
1.000	26.000	2.000	5.000	-9.261	-7.595	11.977
1.000	26.000	2.000	6.000	-12.336	-0.854	12.365
1.000	26.000	2.000	7.000	21.750	-1.149	21.780
1.000	26.000	2.000	8.000	8.381	7.394	11.176
1.000	26.000	2.000	9.000	6.518	-9.463	11.491
1.000	26.000	2.000	10.000	-21.387	-10.798	23.959
1.000	26.000	2.000	1.000	2.772	-5.175	5.871
1.000	26.000	2.000	2.000	7.132	3.175	7.806
1.000	26.000	2.000	3.000	0.181	2.548	2.554
1.000	26.000	2.000	4.000	6.559	0.527	6.580
1.000	26.000	2.000	5.000	30.278	-2.471	30.379
1.000	26.000	2.000	6.000	0.116	-3.231	3.234
1.000	26.000	2.000	7.000	1.712	-8.217	8.394
1.000	26.000	2.000	8.000	-3.697	-4.331	5.694
1.000	26.000	2.000	9.000	-2.562	2.728	3.742
1.000	26.000	2.000	10.000	-8.932	-13.763	16.407
1.000	26.000	2.000	1.000	5.998	-4.177	7.310
1.000	26.000	2.000	2.000	19.991	-1.844	20.076
1.000	26.000	2.000	3.000	-13.589	-4.289	14.250
1.000	26.000	2.000	4.000	-15.150	-5.474	16.108
1.000	26.000	2.000	5.000	-8.177	-8.666	11.915
1.000	26.000	2.000	6.000	-4.699	-0.321	4.710
1.000	26.000	2.000	7.000	-7.160	1.820	7.388
1.000	26.000	2.000	8.000	1.096	-3.324	3.500
1.000	26.000	2.000	9.000	-13.112	-2.132	13.284
1.000	26.000	2.000	10.000	2.313	6.575	6.970
1.000	26.000	2.000	1.000	-2.345	-0.993	2.546
1.000	26.000	2.000	2.000	-3.835	2.720	4.702
1.000	26.000	2.000	3.000	-3.276	7.621	8.295
1.000	26.000	2.000	4.000	4.261	-8.594	9.593
1.000	26.000	2.000	5.000	13.352	-5.506	14.442
1.000	26.000	2.000	6.000	-6.741	-2.977	7.369
1.000	26.000	2.000	7.000	-4.992	-0.616	5.029
1.000	26.000	2.000	8.000	-3.297	11.342	11.812
1.000	26.000	2.000	9.000	1.130	7.940	8.020
1.000	26.000	2.000	10.000	1.479	-1.754	2.295
1.000	26.000	2.000	1.000	-7.333	-2.197	7.655
1.000	26.000	2.000	2.000	-2.618	-4.618	5.309
1.000	26.000	2.000	3.000	-1.659	-0.989	1.932
1.000	26.000	2.000	4.000	7.897	-10.728	13.321
1.000	26.000	2.000	5.000	-11.578	-13.484	17.773
1.000	26.000	2.000	6.000	1.287	-2.343	2.673
1.000	26.000	2.000	7.000	5.154	6.494	8.290
1.000	26.000	2.000	8.000	10.853	-13.944	17.670
1.000	26.000	2.000	9.000	-1.976	2.927	3.531
1.000	26.000	2.000	10.000	8.421	0.342	8.428
1.000	26.000	2.000	1.000	-0.055	-7.542	7.542
1.000	26.000	2.000	2.000	-24.278	-2.098	24.368
1.000	26.000	2.000	3.000	-11.940	-1.537	12.039
1.000	26.000	2.000	4.000	-21.513	-5.902	22.308
1.000	26.000	2.000	5.000	12.525	1.933	12.674
1.000	26.000	2.000	6.000	-7.129	-3.567	7.972
1.000	26.000	2.000	7.000	7.879	-7.594	10.943
1.000	26.000	2.000	8.000	0.138	-6.953	6.954
1.000	26.000	2.000	9.000	9.365	-10.622	14.161
1.000	26.000	2.000	10.000	8.729	-2.203	9.003
1.000	26.000	2.000	1.000	-10.766	-1.335	10.848
1.000	26.000	2.000	2.000	-2.665	-13.531	13.791
1.000	26.000	2.000	3.000	13.459	-7.073	15.204
1.000	26.000	2.000	4.000	10.815	-7.284	13.039
1.000	26.000	2.000	5.000	19.685	0.309	19.687
1.000	26.000	2.000	6.000	-3.691	-5.310	6.467
1.000	26.000	2.000	7.000	0.379	2.157	2.190
1.000	26.000	2.000	8.000	23.048	-5.451	23.683
1.000	26.000	2.000	9.000	0.097	0.196	0.219
1.000	26.000	2.000	10.000	12.341	-0.125	12.342
1.000	26.000	2.000	1.000	7.475	-5.540	9.304
1.000	26.000	2.000	2.000	-10.113	4.349	11.009
1.000	26.000	2.000	3.000	-13.111	-2.328	13.316
1.000	26.000	2.000	4.000	7.867	-5.538	9.621
1.000	26.000	2.000	5.000	7.338	1.413	7.472
1.000	26.000	2.000	6.000	2.445	-16.538	16.718
1.000	26.000	2.000	7.000	3.126	1.389	3.421
1.000	26.000	2.000	8.000	3.379	8.638	9.275
1.000	26.000	2.000	9.000	6.787	-5.152	8.521
