Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	38.000	2.000	1.000	-59.784	-0.478	59.786
2.000	38.000	2.000	2.000	57.132	-4.899	57.342
2.000	38.000	2.000	3.000	56.374	8.507	57.012
2.000	38.000	2.000	4.000	-79.838	1.711	79.856
2.000	38.000	2.000	5.000	-31.423	-7.966	32.417
2.000	38.000	2.000	6.000	34.629	-4.466	34.916
2.000	38.000	2.000	7.000	-56.944	0.985	56.952
2.000	38.000	2.000	8.000	5.758	-8.327	10.124
2.000	38.000	2.000	9.000	23.853	-11.491	26.477
2.000	38.000	2.000	10.000	-7.142	0.502	7.159
2.000	38.000	2.000	1.000	-28.487	-7.580	29.478
2.000	38.000	2.000	2.000	39.716	-4.769	40.001
2.000	38.000	2.000	3.000	34.616	-11.217	36.389
2.000	38.000	2.000	4.000	-28.194	-8.265	29.381
2.000	38.000	2.000	5.000	2.852	8.116	8.603
2.000	38.000	2.000	6.000	-41.101	-3.350	41.237
2.000	38.000	2.000	7.000	47.727	-11.731	49.147
2.000	38.000	2.000	8.000	0.477	-6.948	6.964
2.000	38.000	2.000	9.000	10.629	-19.882	22.545
2.000	38.000	2.000	10.000	-63.503	-1.058	63.512
2.000	38.000	2.000	1.000	3.903	-5.780	6.974
2.000	38.000	2.000	2.000	28.779	6.797	29.570
2.000	38.000	2.000	3.000	10.147	-15.869	18.836
2.000	38.000	2.000	4.000	-8.520	-4.192	9.495
2.000	38.000	2.000	5.000	-67.998	2.375	68.039
2.000	38.000	2.000	6.000	27.941	-23.436	36.468
2.000	38.000	2.000	7.000	7.603	-15.571	17.328
2.000	38.000	2.000	8.000	8.591	-10.779	13.783
2.000	38.000	2.000	9.000	11.828	-5.892	13.215
2.000	38.000	2.000	10.000	7.127	-8.819	11.339
2.000	38.000	2.000	1.000	-37.581	-4.824	37.889
2.000	38.000	2.000	2.000	11.026	-16.556	19.892
2.000	38.000	2.000	3.000	84.339	-1.426	84.351
2.000	38.000	2.000	4.000	7.822	-3.243	8.467
2.000	38.000	2.000	5.000	55.958	-4.896	56.172
2.000	38.000	2.000	6.000	-56.656	-2.049	56.693
2.000	38.000	2.000	7.000	49.007	-7.232	49.538
2.000	38.000	2.000	8.000	-30.342	-5.815	30.895
2.000	38.000	2.000	9.000	62.014	-10.876	62.960
2.000	38.000	2.000	10.000	-21.219	7.181	22.401
2.000	38.000	2.000	1.000	-55.680	-3.714	55.804
2.000	38.000	2.000	2.000	43.202	-24.834	49.831
2.000	38.000	2.000	3.000	-15.199	-18.367	23.841
2.000	38.000	2.000	4.000	2.444	-1.276	2.757
2.000	38.000	2.000	5.000	-45.899	-5.298	46.203
2.000	38.000	2.000	6.000	31.677	-13.658	34.496
2.000	38.000	2.000	7.000	-35.622	-3.360	35.780
2.000	38.000	2.000	8.000	-48.440	-3.923	48.599
2.000	38.000	2.000	9.000	57.317	-10.965	58.356
2.000	38.000	2.000	10.000	1.453	-8.124	8.253
2.000	38.000	2.000	1.000	25.916	-7.190	26.895
2.000	38.000	2.000	2.000	-22.899	-1.817	22.971
2.000	38.000	2.000	3.000	8.893	-5.789	10.611
2.000	38.000	2.000	4.000	20.527	-11.094	23.333
2.000	38.000	2.000	5.000	-0.021	-11.448	11.448
2.000	38.000	2.000	6.000	17.496	-10.208	20.256
