Grp	sID	Phase	Trial	S/L	L/R	
1.000	63.000	2.000	1.000	NA	NA
1.000	63.000	2.000	2.000	60.249	-9.972
1.000	63.000	2.000	3.000	-19.454	-21.178
1.000	63.000	2.000	4.000	-23.669	-4.786
1.000	63.000	2.000	5.000	27.283	-1.670
1.000	63.000	2.000	6.000	-24.927	-6.769
1.000	63.000	2.000	7.000	-25.289	-9.627
1.000	63.000	2.000	8.000	28.847	-9.724
1.000	63.000	2.000	9.000	-50.320	-6.849
1.000	63.000	2.000	10.000	14.550	-7.420
1.000	63.000	2.000	1.000	16.439	-9.171
1.000	63.000	2.000	2.000	-12.516	-7.617
1.000	63.000	2.000	3.000	48.220	-8.135
1.000	63.000	2.000	4.000	-8.678	-7.477
1.000	63.000	2.000	5.000	-39.743	-2.009
1.000	63.000	2.000	6.000	-36.215	-0.593
1.000	63.000	2.000	7.000	-23.862	-5.084
1.000	63.000	2.000	8.000	-24.989	-10.116
1.000	63.000	2.000	9.000	15.829	-7.406
1.000	63.000	2.000	10.000	0.234	-12.399
1.000	63.000	2.000	1.000	-3.748	-8.309
1.000	63.000	2.000	2.000	28.062	-9.930
1.000	63.000	2.000	3.000	4.274	5.165
1.000	63.000	2.000	4.000	-11.252	-6.127
1.000	63.000	2.000	5.000	2.155	-8.048
1.000	63.000	2.000	6.000	-8.237	-2.846
1.000	63.000	2.000	7.000	2.052	-7.655
1.000	63.000	2.000	8.000	2.062	-8.541
1.000	63.000	2.000	9.000	47.820	1.507
1.000	63.000	2.000	10.000	-6.840	-4.602
1.000	63.000	2.000	1.000	28.020	2.964
1.000	63.000	2.000	2.000	-41.663	2.596
1.000	63.000	2.000	3.000	-6.866	-11.197
1.000	63.000	2.000	4.000	-17.542	-6.983
1.000	63.000	2.000	5.000	11.006	1.597
1.000	63.000	2.000	6.000	-51.992	1.991
1.000	63.000	2.000	7.000	-17.290	-12.099
1.000	63.000	2.000	8.000	9.801	-5.208
1.000	63.000	2.000	9.000	-6.858	6.126
1.000	63.000	2.000	10.000	-36.799	-1.190
1.000	63.000	2.000	1.000	-23.295	-3.011
1.000	63.000	2.000	2.000	-6.750	-3.814
1.000	63.000	2.000	3.000	18.482	-6.983
1.000	63.000	2.000	4.000	-4.912	-9.896
1.000	63.000	2.000	5.000	-17.099	6.506
1.000	63.000	2.000	6.000	0.378	-7.575
1.000	63.000	2.000	7.000	43.213	8.740
1.000	63.000	2.000	8.000	-27.258	8.364
1.000	63.000	2.000	9.000	-5.840	2.987
1.000	63.000	2.000	10.000	-18.459	4.818
1.000	63.000	2.000	1.000	-18.939	3.730
1.000	63.000	2.000	2.000	1.602	6.514
1.000	63.000	2.000	3.000	-20.047	-2.975
1.000	63.000	2.000	4.000	17.493	-6.502
1.000	63.000	2.000	5.000	2.366	8.688
1.000	63.000	2.000	6.000	-5.705	8.698
1.000	63.000	2.000	7.000	27.645	-7.769
1.000	63.000	2.000	8.000	-50.525	2.893
1.000	63.000	2.000	9.000	-7.056	-2.833
1.000	63.000	2.000	10.000	-7.020	2.876
1.000	63.000	2.000	1.000	7.713	23.805
1.000	63.000	2.000	2.000	-16.474	-5.692
1.000	63.000	2.000	3.000	-13.224	-5.853
1.000	63.000	2.000	4.000	19.198	-0.381
1.000	63.000	2.000	5.000	-12.742	-4.864
1.000	63.000	2.000	6.000	-38.345	-3.864
1.000	63.000	2.000	7.000	16.559	6.874
1.000	63.000	2.000	8.000	-19.761	-11.141
